"Year
","Week
","From
","To
","ILI consultation rate (per 1,000 consultations)",,Laboratory surveillance,,,,,,,,No. of ILI outbreaks in schools/institutions,,"Admission rates in public hospitals with principal diagnosis of influenza (per 10,000 people in the age group)",,,,,,,"ILI syndrome group in AED of public hospitals (per 1,000 coded cases)",Percentage of children at sentinel KG/CCC having fever,Percentage of residents at sentinel RCHE having fever,"ILI consultation rate at sentinel CMP (per 1,000 consultations)","Weekly number of severe influenza cases by age groups*
",,,
,,,,Sentinel GOPC^,Sentinel PMP,No. of positive detections of seasonal influenza viruses,,,,Positive% for influenza among all respiratory specimens,,,,"Schools (KG/CCC, PS and SS)",Institutions other than schools,0-5 years,6-11 years,12-17 years,18-49 years,50-64 years,65 years or above,All ages,,,,,0-17 years,18-49 years,50-64 years,65 years or above
,,,,,,A(H1),A(H3),B,All infleunza A and B viruses,A(H1),A(H3),B,All infleunza A and B viruses,,,,,,,,,,,,,,,,,
2018,46,11/11/2018,17/11/2018,,24.5,112,30,6,148,2.48%,0.66%,0.13%,3.28%,2,1,0.857,0.388,0.031,0.018,0.039,0.197,0.109,144.8,0.81%,0.10%,1.91,0,2,2,4
2018,47,11/18/2018,11/24/2018,,29.7,156,38,3,197,3.45%,0.84%,0.07%,4.36%,6,0,1.01,0.361,0.061,0.033,0.083,0.221,0.137,143.4,0.82%,0.09%,1.98,0,1,1,4
2018,48,25/11/2018,01/12/2018,,29.5,173,47,6,226,3.77%,1.03%,0.13%,4.93%,16,2,1.714,0.444,0.092,0.06,0.055,0.26,0.185,154.7,0.83%,0.07%,1.87,0,1,1,3
2018,49,02/12/2018,08/12/2018,,44.0,230,88,7,325,4.37%,1.67%,0.13%,6.17%,12,1,1.714,0.444,0.031,0.068,0.105,0.252,0.197,162.5,1.02%,0.09%,1.91,2,1,4,2
2018,50,12/9/2018,12/15/2018,,37.2,272,61,3,336,5.51%,1.24%,0.06%,6.81%,14,1,2.265,0.638,0.246,0.062,0.127,0.347,0.259,170.8,0.93%,0.07%,1.17,0,1,1,3
2018,51,12/16/2018,12/22/2018,,43.5,478,107,5,590,8.43%,1.89%,0.09%,10.40%,14,3,3.734,0.527,0.369,0.098,0.199,0.733,0.423,181.3,0.98%,0.12%,0.96,0,4,4,8
2018,52,23/12/2018,29/12/2018,,40.1,635,154,3,792,11.46%,2.78%,0.05%,14.29%,1,7,4.438,1.026,0.154,0.158,0.304,0.946,0.557,205.1,Temporarily suspended,0.16%,1.22,2,1,3,9
2019,1,12/30/2018,1/5/2019,4.1,42.8,1018,177,5,1200,16.81%,2.92%,0.08%,19.82%,0,6,6.849,1.203,0.246,0.281,0.531,1.635,0.903,211.6,0.89%,0.07%,2.79,5,7,15,15
2019,2,1/6/2019,1/12/2019,6.4,47.9,1575,254,15,1844,21.50%,3.47%,0.20%,25.17%,110,11,10.43,1.996,0.614,0.41,0.87,2.576,1.416,243.5,1.09%,0.10%,2.67,0,7,15,27
2019,3,1/13/2019,1/19/2019,7.7,54.6,1999,287,22,2308,25.94%,3.72%,0.29%,29.95%,190,18,11.656,1.832,1.136,0.565,1.04,2.478,1.576,254,1.23%,0.07%,3.00,5,6,19,30
2019,4,1/20/2019,1/26/2019,7.2,61.5,1714,301,8,2023,21.90%,3.85%,0.10%,25.85%,192,17,8.137,1.613,0.461,0.422,0.788,2.961,1.347,245.2,1.21%,0.11%,4.07,6,9,23,42
2019,5,1/27/2019,2/2/2019,5.9,43.3,1158,259,23,1440,16.32%,3.65%,0.32%,20.30%,20,11,4.241,0.984,0.399,0.311,0.558,1.823,0.842,226.9,Temporarily suspended,0.08%,3.53,5,10,17,38
2019,6,2/3/2019,2/9/2019,6.8,26.8,793,206,12,1011,13.06%,3.39%,0.20%,16.65%,0,4,3.393,0.793,0.154,0.174,0.509,1.718,0.694,229.3,Temporarily suspended,0.14%,2.88,0,6,10,41
2019,7,2/10/2019,2/16/2019,5.1,29.0,773,223,16,1012,12.13%,3.50%,0.25%,15.88%,1,9,4.398,0.82,0.184,0.239,0.399,1.424,0.69,192.6,0.61%,0.08%,2.77,0,4,11,39
2019,8,2/17/2019,2/23/2019,4.3,38.2,592,245,24,861,9.48%,3.92%,0.38%,13.79%,55,9,3.613,0.793,0.215,0.224,0.378,1.507,0.659,173.6,0.68%,0.11%,2.52,0,3,10,37
2019,9,2/24/2019,3/2/2019,4.5,47.6,508,289,25,822,8.24%,4.69%,0.41%,13.34%,67,5,4.147,0.984,0.246,0.144,0.334,1.386,0.625,177,0.87%,0.11%,1.12,0,1,9,25
2019,10,3/3/2019,3/9/2019,4.1,42.8,473,241,33,747,7.92%,4.03%,0.55%,12.51%,28,6,3.142,0.93,0.184,0.2,0.263,1.115,0.537,171.9,0.85%,0.11%,2.33,0,6,10,21
2019,11,3/10/2019,3/16/2019,3.4,39.5,368,304,37,709,6.17%,5.10%,0.62%,11.89%,31,1,3.173,0.957,0.43,0.138,0.285,1.175,0.538,186.6,0.73%,0.11%,2.56,0,1,4,24
2019,12,3/17/2019,3/23/2019,3.6,40.4,308,240,48,596,4.76%,3.71%,0.74%,9.20%,20,11,2.011,0.82,0.553,0.108,0.235,1.198,0.466,188.8,0.79%,0.11%,2.24,1,0,5,16
2019,13,3/24/2019,3/30/2019,2.6,36.5,225,221,51,497,3.68%,3.61%,0.83%,8.12%,22,6,1.571,0.601,0.184,0.108,0.192,0.994,0.374,192.4,0.87%,0.13%,2.49,0,1,5,25
2019,14,3/31/2019,4/6/2019,2.6,33.5,131,164,49,344,2.42%,3.03%,0.91%,6.36%,9,3,1.351,0.711,0.154,0.105,0.12,0.512,0.265,187.8,0.83%,0.10%,2.11,1,1,1,5
2019,15,4/7/2019,4/13/2019,2.4,30.1,68,154,78,300,1.10%,2.48%,1.26%,4.83%,14,2,1.162,0.383,0.061,0.069,0.104,0.429,0.203,186.3,0.72%,0.12%,2.10,2,2,0,6
2019,16,4/14/2019,4/20/2019,2.4,36.6,48,76,65,189,1.11%,1.76%,1.51%,4.39%,10,2,1.288,0.601,0.031,0.093,0.066,0.332,0.201,181.6,0.80%,0.10%,1.99,0,0,0,2
2019,17,4/21/2019,4/27/2019,2.4,29.6,76,175,146,397,1.16%,2.66%,2.22%,6.03%,1,2,1.728,0.765,0.184,0.147,0.12,0.369,0.278,179.4,1.08%,0.12%,2.20,1,0,3,12
2019,18,4/28/2019,5/4/2019,2.2,28.0,63,105,157,325,1.16%,1.93%,2.89%,5.98%,10,1,1.539,0.437,0.276,0.093,0.066,0.226,0.196,177.2,0.76%,0.10%,1.09,1,0,4,5
2019,19,5/5/2019,5/11/2019,2.1,19.0,46,82,141,269,0.85%,1.51%,2.60%,4.95%,24,0,0.943,0.547,0.184,0.039,0.038,0.256,0.147,169.2,0.83%,0.08%,0.98,1,1,1,4
2019,20,5/12/2019,5/18/2019,2.7,27.9,42,83,233,358,0.76%,1.51%,4.23%,6.50%,14,1,1.288,1.23,0.399,0.069,0.055,0.219,0.214,184,0.94%,0.09%,1.59,0,0,1,5
2019,21,5/19/2019,5/25/2019,3.0,38.9,44,101,244,389,0.79%,1.81%,4.37%,6.97%,35,5,1.697,0.848,0.491,0.096,0.033,0.256,0.23,179.8,0.98%,0.10%,1.95,1,0,1,6
2019,22,5/26/2019,6/1/2019,3.0,34.6,30,78,224,332,0.59%,1.54%,4.43%,6.56%,41,1,1.037,0.793,0.307,0.063,0.055,0.279,0.187,177,0.95%,0.08%,2.05,1,0,2,10
2019,23,6/2/2019,6/8/2019,3.4,24.4,30,92,191,313,0.62%,1.91%,3.96%,6.50%,17,3,1.225,1.121,0.461,0.066,0.093,0.264,0.225,178.8,0.89%,0.11%,1.81,0,0,3,5
2019,24,6/9/2019,6/15/2019,3.1,36.8,71,137,214,422,1.28%,2.48%,3.87%,7.64%,14,5,1.697,1.012,0.154,0.078,0.066,0.384,0.246,171.7,0.95%,0.12%,1.92,0,2,1,8
2019,25,6/16/2019,6/22/2019,2.4,33.2,99,123,198,420,1.83%,2.28%,3.67%,7.78%,25,7,1.822,1.312,0.246,0.093,0.088,0.362,0.278,172.5,0.89%,0.09%,1.80,1,1,4,4
2019,26,6/23/2019,6/29/2019,2.8,32.4,119,125,173,417,2.26%,2.38%,3.29%,7.92%,20,4,1.916,0.984,0.338,0.111,0.109,0.286,0.27,165.2,1.06%,0.11%,2.12,0,1,3,4
2019,27,6/30/2019,7/6/2019,3.0,43.7,150,137,184,471,3.13%,2.85%,3.83%,9.81%,10,4,2.67,0.93,0.368,0.108,0.093,0.369,0.31,170.2,0.96%,0.12%,2.21,2,1,3,5
2019,28,7/7/2019,7/13/2019,3.3,46.3,170,133,159,462,3.38%,2.64%,3.16%,9.18%,10,5,2.136,0.875,0.399,0.06,0.099,0.422,0.276,166.5,0.78%,0.14%,2.00,1,2,2,5
2019,29,7/14/2019,7/20/2019,2.7,41.7,161,114,135,410,3.09%,2.19%,2.59%,7.87%,4,2,2.074,0.902,0.184,0.138,0.066,0.482,0.302,162.7,1.15%,0.11%,1.76,2,4,3,8
2019,30,7/21/2019,7/27/2019,2.9,46.1,123,118,95,336,2.59%,2.49%,2.00%,7.08%,0,6,1.822,0.711,0.092,0.069,0.077,0.46,0.246,153.3,Temporarily suspended,0.08%,1.85,0,1,4,8
2019,31,7/28/2019,8/3/2019,1.9,41.0,64,114,62,240,1.42%,2.53%,1.38%,5.32%,1,3,0.88,0.246,0.154,0.024,0.055,0.286,0.131,144.3,Temporarily suspended,0.08%,0.99,0,2,1,5
2019,32,8/4/2019,8/10/2019,2.1,34.4,44,113,50,207,0.93%,2.39%,1.06%,4.38%,0,1,0.597,0.273,0.123,0.033,0.027,0.264,0.112,140,0.73%,0.08%,1.45,0,1,3,5
2019,33,8/11/2019,8/17/2019,2.0,29.3,46,76,32,154,0.98%,1.62%,0.68%,3.29%,3,3,0.691,0.164,0.123,0.027,0.016,0.219,0.097,134.4,0.65%,0.09%,0.93,0,0,0,5
2019,34,8/18/2019,8/24/2019,1.9,34.6,42,66,29,137,0.94%,1.48%,0.65%,3.07%,1,1,0.628,0.246,0.031,0.042,0.044,0.196,0.104,127.5,Temporarily suspended,0.08%,1.84,0,1,1,5
2019,35,8/25/2019,8/31/2019,2.0,37.6,51,61,16,128,1.17%,1.40%,0.37%,2.93%,3,1,0.471,0.109,0.061,0.033,0.027,0.158,0.077,128.7,Temporarily suspended,0.11%,2.38,0,0,0,5
2019,36,9/1/2019,9/7/2019,2.0,23.0,55,69,17,141,1.28%,1.61%,0.40%,3.28%,3,3,0.503,0.246,0.031,0.03,0.038,0.173,0.088,134.8,0.71%,0.09%,1.88,0,0,3,6
2019,37,9/8/2019,9/14/2019,2.5,36.8,47,76,10,133,1.14%,1.84%,0.24%,3.22%,4,2,0.754,0.246,0.092,0.033,0.016,0.173,0.097,152.2,0.86%,0.09%,1.85,1,0,1,4
2019,38,9/15/2019,9/21/2019,2.7,37.3,56,80,17,153,1.05%,1.50%,0.32%,2.86%,4,1,0.566,0.191,0.246,0.036,0.038,0.196,0.104,166.6,0.99%,0.09%,1.81,0,1,1,2
2019,39,9/22/2019,9/28/2019,1.9,35.0,25,49,22,96,0.51%,1.00%,0.45%,1.96%,9,0,0.534,0.273,0.061,0.024,0.022,0.075,0.068,170.2,1.11%,0.07%,1.06,0,1,0,2
2019,40,9/29/2019,10/5/2019,2.3,34.1,41,42,16,99,0.85%,0.88%,0.33%,2.06%,4,1,0.314,0.109,0.092,0.009,0.016,0.098,0.048,174.5,1.24%,0.10%,0.00,0,0,0,3
2019,41,10/6/2019,10/12/2019,2.0,34.1,28,27,6,61,0.65%,0.63%,0.14%,1.41%,,,0.157,0.109,0,0.018,0.016,0.075,0.037,160.9,0.88%,0.11%,2.01,0,1,0,2
2019,42,10/13/2019,10/19/2019,1.7,29.4,39,19,4,62,0.91%,0.44%,0.09%,1.44%,4,0,0.314,0.027,0.031,0.012,0.044,0.053,0.041,154.3,0.93%,0.10%,1.85,1,0,0,1
2019,43,10/20/2019,10/26/2019,2.1,27.2,55,20,9,84,1.16%,0.42%,0.19%,1.77%,8,1,0.314,0.137,0.031,0.009,0.022,0.045,0.039,155.5,0.94%,0.08%,1.83,0,0,2,1
2019,44,10/27/2019,11/2/2019,3.1,32.3,42,17,17,76,0.90%,0.36%,0.36%,1.63%,5,0,0.471,0.301,0,0.018,0.016,0.068,0.059,160.7,0.96%,0.09%,0.99,0,0,0,3
2019,45,11/3/2019,11/9/2019,2.3,32.0,51,14,8,73,1.07%,0.29%,0.17%,1.53%,3,0,0.314,0.191,0.031,0.006,0.011,0.068,0.041,166,1.01%,0.09%,2.16,1,0,0,0
2019,46,11/10/2019,11/16/2019,2.0,21.7,57,18,2,77,1.20%,0.38%,0.04%,1.62%,1,0,0.534,0.137,0.031,0.006,0.027,0.106,0.059,176.5,0.42%,0.11%,2.55,0,0,2,1
2019,47,11/17/2019,11/23/2019,1.8,22.5,63,9,3,75,1.32%,0.19%,0.06%,1.57%,0,1,0.157,0.055,0,0.018,0.022,0.09,0.039,163.5,Temporarily suspended,0.11%,1.22,0,0,2,2
2019,48,11/24/2019,11/30/2019,1.9,27.2,67,9,2,78,1.40%,0.19%,0.04%,1.63%,2,2,0.44,0.109,0,0.018,0.006,0.136,0.057,150.1,0.47%,0.12%,1.62,0,0,0,2
2019,49,12/1/2019,12/7/2019,2.4,16.2,83,27,3,113,1.73%,0.56%,0.06%,2.35%,4,1,0.723,0.273,0.092,0.012,0.016,0.196,0.092,166.2,0.73%,0.10%,2.22,0,1,2,1
2019,50,12/8/2019,12/14/2019,2.5,26.4,102,65,15,182,1.78%,1.14%,0.26%,3.18%,6,0,1.037,0.383,0.092,0.036,0.022,0.211,0.125,175.2,0.83%,0.13%,2.04,0,1,0,2
2019,51,12/15/2019,12/21/2019,2.6,28.0,160,99,17,276,2.68%,1.66%,0.28%,4.62%,9,3,1.477,0.547,0.123,0.066,0.104,0.316,0.205,180.8,0.80%,0.08%,2.14,1,0,0,7
2019,52,12/22/2019,12/28/2019,3.2,29.1,231,102,13,346,4.30%,1.90%,0.24%,6.45%,0,1,2.042,0.765,0.246,0.075,0.104,0.392,0.262,203.1,Temporarily suspended,0.09%,2.32,0,1,4,5
2020,1,12/29/2019,1/4/2020,4.1,28.7,389,184,18,591,6.81%,3.22%,0.32%,10.35%,0,3,3.365,0.679,0.505,0.165,0.246,0.861,0.483,200.4,Temporarily suspended,0.10%,1.75,2,0,2,10
2020,2,1/5/2020,1/11/2020,6.1,39.0,871,307,33,1211,12.64%,4.45%,0.48%,17.57%,31,8,5.477,1.189,0.594,0.277,0.433,1.636,0.834,233.3,0.73%,0.15%,2.63,0,2,5,12
2020,3,1/12/2020,1/18/2020,5.7,34.8,928,189,42,1159,14.63%,2.98%,0.66%,18.27%,51,15,3.959,1.047,0.357,0.317,0.57,1.839,0.844,215.7,0.70%,0.09%,1.85,2,9,13,22
2020,4,1/19/2020,1/25/2020,6.7,15.5,984,150,47,1181,15.63%,2.38%,0.75%,18.76%,25,13,3.893,0.991,0.505,0.466,0.63,1.86,0.929,275.2,0.84%,0.10%,1.56,0,4,4,33
2020,5,1/26/2020,2/1/2020,4.5,20.5,846,116,41,1003,11.96%,1.64%,0.58%,14.17%,0,6,1.617,0.481,0.267,0.344,0.433,1.26,0.59,323.7,Temporarily suspended,0.08%,1.77,2,4,12,27
2020,6,2/2/2020,2/8/2020,2.1,29.1,266,33,21,320,4.71%,0.58%,0.37%,5.66%,0,4,0.726,0.17,0.119,0.134,0.181,0.543,0.246,299,Temporarily suspended,0.09%,4.57,1,1,3,18
2020,7,2/9/2020,2/15/2020,1.9,30.2,75,12,6,93,1.51%,0.24%,0.12%,1.87%,0,2,0.099,0.028,0,0.037,0.027,0.21,0.067,249.1,Temporarily suspended,0.09%,4.15,0,1,1,15
2020,8,2/16/2020,2/22/2020,1.2,26.6,15,5,3,23,0.26%,0.09%,0.05%,0.41%,,,0,0,0.03,0.006,0.016,0.022,0.012,207,Temporarily suspended,0.07%,3.71,0,0,1,4
2020,9,2/23/2020,2/29/2020,1.7,27.5,11,3,4,18,0.22%,0.06%,0.08%,0.36%,,,0,0,0,0.018,0.022,0.051,0.023,200.4,Temporarily suspended,0.10%,3.05,0,0,0,5
2020,10,3/1/2020,3/7/2020,1.1,24.1,6,0,1,7,0.14%,0.00%,0.02%,0.17%,,,0.033,0,0,0.003,0,0.022,0.007,158.1,Temporarily suspended,0.11%,2.57,0,0,0,1
2020,11,3/8/2020,3/14/2020,1.3,30.2,3,5,9,17,0.07%,0.11%,0.20%,0.38%,,,0.033,0.057,0,0.027,0,0.007,0.017,156.3,Temporarily suspended,0.10%,2.13,0,0,0,5
2020,12,3/15/2020,3/21/2020,1.6,20.5,5,5,15,25,0.09%,0.09%,0.27%,0.45%,,,0.066,0.028,0.059,0.037,0,0.007,0.024,197.2,Temporarily suspended,0.07%,2.18,0,0,0,1
2020,13,3/22/2020,3/28/2020,1.2,19.3,2,1,4,7,0.05%,0.02%,0.09%,0.16%,,,0.033,0,0.03,0.012,0.006,0.015,0.012,230.3,Temporarily suspended,0.11%,1.81,0,0,0,1
2020,14,3/29/2020,4/4/2020,1.3,12.1,2,0,2,4,0.09%,0.00%,0.09%,0.17%,,,0.033,0.028,0,0.006,0,0.007,0.007,194.9,Temporarily suspended,0.11%,2.04,0,0,0,0
2020,15,4/5/2020,4/11/2020,0.9,14.4,0,0,1,1,0.00%,0.00%,0.05%,0.05%,,,0,0,0.03,0,0,0,0.001,170.4,Temporarily suspended,0.06%,0.71,0,0,0,0
2020,16,4/12/2020,4/18/2020,1.0,9.1,0,0,0,0,0.00%,0.00%,0.00%,0.00%,,,0,0,0,0,0.006,0,0.001,142.3,Temporarily suspended,0.09%,1.81,0,0,0,0
2020,17,4/19/2020,4/25/2020,0.6,20.6,0,0,0,0,0.00%,0.00%,0.00%,0.00%,,,0,0,0,0.003,0,0.007,0.003,125.4,Temporarily suspended,0.10%,1.78,0,0,0,0
2020,18,4/26/2020,5/2/2020,0.6,16.2,0,0,0,0,0.00%,0.00%,0.00%,0.00%,,,0,0,0,0,0,0,0,111.3,Temporarily suspended,0.08%,1.67,0,0,0,0
2020,19,5/3/2020,5/9/2020,0.6,15.8,0,0,0,0,0.00%,0.00%,0.00%,0.00%,,,0,0,0,0,0,0,0,94.7,Temporarily suspended,0.11%,1.36,0,0,0,0
2020,20,5/10/2020,5/16/2020,0.7,17.1,0,0,0,0,0.00%,0.00%,0.00%,0.00%,,,0,0,0,0,0,0,0,95.5,Temporarily suspended,0.11%,1.59,0,0,0,0
2020,21,5/17/2020,5/23/2020,0.6,13.1,0,0,0,0,0.00%,0.00%,0.00%,0.00%,,,0,0,0,0.003,0,0,0.001,96.5,Temporarily suspended,0.09%,1.46,0,0,0,0
2020,22,5/24/2020,5/30/2020,0.6,17.0,0,1,0,1,0.00%,0.05%,0.00%,0.05%,,,0,0,0,0,0,0.007,0.001,82.8,Temporarily suspended,0.07%,1.28,0,0,0,0
2020,23,5/31/2020,6/6/2020,0.9,15.4,0,0,0,0,0.00%,0.00%,0.00%,0.00%,,,0,0,0,0,0,0.015,0.003,98.5,Temporarily suspended,0.10%,1.46,0,0,0,0
2020,24,6/7/2020,6/13/2020,0.9,13.6,0,0,0,0,0.00%,0.00%,0.00%,0.00%,,,0,0,0,0,0,0,0,98.5,Temporarily suspended,0.08%,1.40,0,0,0,0
2020,25,6/14/2020,6/20/2020,0.7,17.3,0,0,0,0,0.00%,0.00%,0.00%,0.00%,,,0,0,0,0,0.006,0,0.001,93.3,Temporarily suspended,0.08%,1.32,0,0,0,1
2020,26,6/21/2020,6/27/2020,0.6,17.8,0,0,0,0,0.00%,0.00%,0.00%,0.00%,,,0,0,0,0,0,0,0,90.2,Temporarily suspended,0.09%,1.22,0,0,0,0
2020,27,6/28/2020,7/4/2020,0.6,18.2,0,0,0,0,0.00%,0.00%,0.00%,0.00%,,,0,0,0,0,0,0,0,82.9,Temporarily suspended,0.07%,0.97,0,0,0,0
2020,28,7/5/2020,7/11/2020,0.6,20.0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,,,0,0,0,0,0.006,0,0.001,128.4,Temporarily suspended,0.10%,1.47,0,0,0,0
2020,29,7/12/2020,7/18/2020,1.0,19.6,0,0,0,0,0.00%,0.00%,0.00%,0.00%,,,0,0,0,0,0,0,0,202.1,Temporarily suspended,0.14%,1.42,0,0,0,0
2020,30,7/19/2020,7/25/2020,1.0,21.3,0,0,0,0,0.00%,0.00%,0.00%,0.00%,,,0,0,0,0,0,0,0,242,Temporarily suspended,0.11%,1.66,0,0,0,0
2020,31,7/26/2020,8/1/2020,0.8,16.4,0,0,0,0,0.00%,0.00%,0.00%,0.00%,,,0,0,0,0,0,0,0,209.9,Temporarily suspended,0.10%,1.78,0,0,0,0
2020,32,8/2/2020,8/8/2020,0.6,16.1,0,0,0,0,0.00%,0.00%,0.00%,0.00%,,,0,0,0,0,0,0,0,172.4,Temporarily suspended,0.11%,1.50,0,0,0,0
2020,33,8/9/2020,8/15/2020,0.7,15.3,0,0,0,0,0.00%,0.00%,0.00%,0.00%,,,0,0,0,0,0,0,0,149.1,Temporarily suspended,0.10%,1.64,0,0,0,0
2020,34,8/16/2020,8/22/2020,0.4,17.0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,,,0,0,0,0,0,0,0,130.7,Temporarily suspended,0.10%,2.06,0,0,0,0
2020,35,8/23/2020,8/29/2020,0.6,22.7,0,0,0,0,0.00%,0.00%,0.00%,0.00%,,,0,0,0,0,0,0,0,117.6,Temporarily suspended,0.10%,1.76,0,0,0,0
2020,36,8/30/2020,9/5/2020,0.7,17.2,0,0,0,0,0.00%,0.00%,0.00%,0.00%,,,0,0,0,0,0,0,0,112.2,Temporarily suspended,0.10%,1.79,0,0,0,0
2020,37,9/6/2020,9/12/2020,0.3,14.5,0,0,0,0,0.00%,0.00%,0.00%,0.00%,,,0,0,0,0,0,0,0,104.9,Temporarily suspended,0.08%,1.60,0,0,0,0
2020,38,9/13/2020,9/19/2020,0.5,17.0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,,,0,0,0,0,0,0.007,0.001,97.9,Temporarily suspended,0.08%,1.49,0,0,0,0
2020,39,9/20/2020,9/26/2020,0.7,14.7,0,0,0,0,0.00%,0.00%,0.00%,0.00%,,,0,0,0,0,0,0,0,99.6,Temporarily suspended,0.10%,0.71,0,0,0,0
2020,40,9/27/2020,10/3/2020,0.5,15.6,0,0,1,1,0.00%,0.00%,0.07%,0.07%,0,1,0,0,0,0.003,0,0,0.001,98.7,0.05%,0.09%,1.28,0,0,0,0
2020,41,10/4/2020,10/10/2020,0.7,9.7,0,0,0,0,0.00%,0.00%,0.00%,0.00%,,,0,0,0,0,0,0,0,105.8,0.13%,0.09%,1.47,0,0,0,0
2020,42,10/11/2020,10/17/2020,0.4,14.1,0,1,0,1,0.00%,0.07%,0.00%,0.07%,,,0.033,0,0,0,0,0,0.001,102.4,0.16%,0.10%,0.90,0,0,0,0
2020,43,10/18/2020,10/24/2020,0.5,13.1,0,1,2,3,0.00%,0.06%,0.12%,0.18%,,,0,0,0,0.006,0,0,0.003,105.7,0.10%,0.07%,0.38,0,0,0,0
2020,44,10/25/2020,10/31/2020,0.9,17.2,1,1,1,3,0.06%,0.06%,0.06%,0.19%,1,0,0,0,0,0,0,0,0,106.6,0.07%,0.12%,1.09,0,0,0,0
2020,45,11/1/2020,11/7/2020,0.8,16.1,0,1,2,3,0.00%,0.06%,0.13%,0.19%,,,0,0.057,0,0,0,0,0.003,129.4,0.30%,0.09%,0.35,0,0,0,0
2020,46,11/8/2020,11/14/2020,1.3,29.4,0,1,0,1,0.00%,0.06%,0.00%,0.06%,1,0,0,0,0,0,0,0,0,167,0.48%,0.11%,1.28,0,0,0,0
2020,47,11/15/2020,11/21/2020,1.1,34.6,0,0,0,0,0.00%,0.00%,0.00%,0.00%,,,0,0,0,0,0,0,0,167.7,Temporarily suspended,0.11%,1.19,0,0,0,0
2020,48,11/22/2020,11/28/2020,1.1,22.3,0,0,2,2,0.00%,0.00%,0.10%,0.10%,,,0.033,0,0,0,0,0,0.001,144.7,Temporarily suspended,0.09%,1.13,0,0,0,0
2020,49,11/29/2020,12/5/2020,0.8,21.6,5,6,6,17,0.19%,0.23%,0.23%,0.64%,,,0.033,0,0,0,0,0,0.001,129.5,Temporarily suspended,0.09%,0.51,0,1,0,0
2020,50,12/6/2020,12/12/2020,0.6,20.5,3,3,3,9,0.14%,0.14%,0.14%,0.41%,,,0,0,0,0,0,0,0,127.4,Temporarily suspended,0.07%,0.98,0,0,0,0
2020,51,12/13/2020,12/19/2020,0.6,22.0,1,2,3,6,0.05%,0.10%,0.14%,0.29%,,,0,0,0,0,0,0,0,128.9,Temporarily suspended,0.09%,0.42,0,0,0,0
2020,52,12/20/2020,12/26/2020,0.4,20.3,2,2,3,7,0.04%,0.04%,0.05%,0.12%,,,0,0,0,0,0,0,0,127.4,Temporarily suspended,0.10%,0.80,0,0,0,0
2021,1,12/27/2020,1/2/2021,0.7,19.8,0,3,3,6,0.00%,0.05%,0.05%,0.09%,,,0.036,0,0,0,0,0,0.001,108.6,Temporarily suspended,0.08%,1.12,0,0,0,0
2021,2,1/3/2021,1/9/2021,0.5,19.8,1,1,1,3,0.02%,0.02%,0.02%,0.05%,,,0,0,0,0,0,0,0,98.4,Temporarily suspended,0.06%,1.07,0,0,0,0
2021,3,1/10/2021,1/16/2021,0.4,19.0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,,,0,0,0,0,0,0,0,97.6,Temporarily suspended,0.10%,1.07,0,0,0,0
2021,4,1/17/2021,1/23/2021,0.5,23.3,1,1,1,3,0.01%,0.01%,0.01%,0.04%,,,0,0,0,0,0,0,0,100.1,Temporarily suspended,0.10%,0.97,0,0,0,0
2021,5,1/24/2021,1/30/2021,0.5,13.2,1,1,3,5,0.02%,0.02%,0.05%,0.08%,,,0,0,0,0,0.006,0.007,0.003,99.9,Temporarily suspended,0.08%,1.15,0,0,0,0
2021,6,1/31/2021,2/6/2021,0.5,16.5,0,0,1,1,0.00%,0.00%,0.02%,0.02%,,,0,0,0,0,0,0,0,97.3,Temporarily suspended,0.11%,0.30,0,0,0,0
2021,7,2/7/2021,2/13/2021,0.7,11.4,0,0,0,0,0.00%,0.00%,0.00%,0.00%,,,0,0,0,0,0,0,0,96.6,Temporarily suspended,0.07%,0.19,0,0,0,0
2021,8,2/14/2021,2/20/2021,0.6,11.1,0,0,0,0,0.00%,0.00%,0.00%,0.00%,,,0,0,0,0,0,0,0,92.7,Temporarily suspended,0.11%,0.65,0,0,0,0
2021,9,2/21/2021,2/27/2021,0.6,6.2,0,0,1,1,0.00%,0.00%,0.02%,0.02%,,,0,0,0,0,0,0,0,96,Temporarily suspended,0.07%,1.20,0,0,0,0
2021,10,2/28/2021,3/6/2021,0.6,15.5,0,1,0,1,0.00%,0.02%,0.00%,0.02%,,,0,0,0,0,0,0,0,88.7,Temporarily suspended,0.08%,1.17,0,0,0,0
2021,11,3/7/2021,3/13/2021,0.5,5.6,0,0,0,0,0.00%,0.00%,0.00%,0.00%,,,0,0,0,0,0,0,0,89.8,Temporarily suspended,0.09%,1.25,0,0,0,0
2021,12,3/14/2021,3/20/2021,0.5,6.2,0,0,1,1,0.00%,0.00%,0.02%,0.02%,,,0,0,0,0,0,0,0,96.1,0.06%,0.09%,0.48,0,0,0,0
2021,13,3/21/2021,3/27/2021,0.4,14.3,0,0,2,2,0.00%,0.00%,0.03%,0.03%,1,0,0,0,0,0,0.006,0,0.001,89.4,0.08%,0.09%,1.13,0,0,0,0
