system:index,COUNTY_NAM,mean
201504_00000000000000000029,Santa Barbara,14.107663632101705
201504_0000000000000000003a,Santa Barbara,
201504_0000000000000000003b,Santa Barbara,15.479425048828148
201504_0000000000000000003c,Santa Barbara,13.596643066406273
201504_0000000000000000003d,Santa Barbara,13.474145507812523
201504_0000000000000000003e,Santa Barbara,14.5907192267502
201504_0000000000000000002a,Santa Clara,13.854062303345875
201504_0000000000000000002b,Santa Cruz,13.176856102560816
201504_0000000000000000002c,Shasta,10.762520619997366
201504_0000000000000000002d,Sierra,6.579407361144906
201504_0000000000000000002e,Siskiyou,7.495443544750069
201504_0000000000000000002f,Solano,16.223624836893485
201504_00000000000000000030,Sonoma,12.973413236669177
201504_00000000000000000031,Stanislaus,16.334363391646125
201504_00000000000000000032,Sutter,18.372562491051536
201504_00000000000000000033,Tehama,13.56439933712023
201504_00000000000000000034,Trinity,8.572508346190197
201504_00000000000000000035,Tulare,11.598364059749885
201504_00000000000000000036,Tuolumne,6.610718545728788
201504_00000000000000000037,Ventura,14.095164661857037
201504_0000000000000000003f,Ventura,14.74063070832399
201504_00000000000000000040,Ventura,15.858819580078148
201504_00000000000000000041,Ventura,15.858819580078148
201504_00000000000000000042,Ventura,
201504_00000000000000000038,Yolo,17.311685438768603
201504_00000000000000000039,Yuba,15.527503099088976
201505_00000000000000000000,Alameda,14.704933969744372
201505_00000000000000000001,Alpine,6.924513413500904
201505_00000000000000000002,Amador,14.213911689645283
201505_00000000000000000003,Butte,18.211817811854225
201505_00000000000000000004,Calaveras,14.730811058396183
201505_00000000000000000005,Colusa,19.260713336803594
201505_00000000000000000006,Contra Costa,15.525476860175532
201505_00000000000000000007,Del Norte,12.418013907982507
201505_00000000000000000008,El Dorado,12.27231650895663
201505_00000000000000000009,Fresno,14.826708196455806
201505_0000000000000000000a,Glenn,18.358668753073086
201505_0000000000000000000b,Humboldt,11.750163550560059
201505_0000000000000000000c,Imperial,24.26066655713868
201505_0000000000000000000d,Inyo,16.82325458393918
201505_0000000000000000000e,Kern,18.348581103151165
201505_0000000000000000000f,Kings,21.372254553213384
201505_00000000000000000010,Lake,15.267190860626616
201505_00000000000000000011,Lassen,11.538136135157648
201505_00000000000000000012,Los Angeles,16.192748459333377
201505_00000000000000000043,Los Angeles,15.055631653691703
201505_00000000000000000044,Los Angeles,15.059303494157485
201505_00000000000000000013,Madera,14.449232660061826
201505_00000000000000000014,Marin,13.320412047896513
201505_00000000000000000015,Mariposa,13.3927181670161
201505_00000000000000000016,Mendocino,13.772852144819563
201505_00000000000000000017,Merced,18.885424647183388
201505_00000000000000000018,Modoc,11.909347030931706
201505_00000000000000000019,Mono,6.668888123584124
201505_0000000000000000001a,Monterey,14.19399061088103
201505_0000000000000000001b,Napa,16.526629014831897
201505_0000000000000000001c,Nevada,12.611035296735572
201505_0000000000000000001d,Orange,16.742816698108825
201505_0000000000000000001e,Placer,12.841501991654761
201505_0000000000000000001f,Plumas,10.986460229206223
201505_00000000000000000020,Riverside,20.437648443422468
201505_00000000000000000021,Sacramento,18.113978213098235
201505_00000000000000000022,San Benito,14.95220348125277
201505_00000000000000000023,San Bernardino,20.797749272635123
201505_00000000000000000024,San Diego,16.327418484122898
201505_00000000000000000025,San Francisco,13.059658499909572
201505_00000000000000000026,San Joaquin,17.448135529480446
201505_00000000000000000027,San Luis Obispo,15.426270081276137
201505_00000000000000000028,San Mateo,13.218383349948935
201505_00000000000000000029,Santa Barbara,14.251588230254056
201505_0000000000000000003a,Santa Barbara,
201505_0000000000000000003b,Santa Barbara,14.535729980468773
201505_0000000000000000003c,Santa Barbara,13.074720234773618
201505_0000000000000000003d,Santa Barbara,12.882592773437523
201505_0000000000000000003e,Santa Barbara,13.865330907964575
201505_0000000000000000002a,Santa Clara,14.399195553717975
201505_0000000000000000002b,Santa Cruz,13.339679955182193
201505_0000000000000000002c,Shasta,15.165253697865737
201505_0000000000000000002d,Sierra,9.951260237613178
201505_0000000000000000002e,Siskiyou,12.16623241017276
201505_0000000000000000002f,Solano,16.726242564154735
201505_00000000000000000030,Sonoma,14.136348012646646
201505_00000000000000000031,Stanislaus,17.97754177151505
201505_00000000000000000032,Sutter,20.446460030111684
201505_00000000000000000033,Tehama,17.50609983211644
201505_00000000000000000034,Trinity,12.73265532547263
201505_00000000000000000035,Tulare,14.212245831222177
201505_00000000000000000036,Tuolumne,9.34839152828392
201505_00000000000000000037,Ventura,15.021991097806703
201505_0000000000000000003f,Ventura,14.045988936389973
201505_00000000000000000040,Ventura,15.273431396484398
201505_00000000000000000041,Ventura,15.273431396484398
201505_00000000000000000042,Ventura,
201505_00000000000000000038,Yolo,18.88688605772248
201505_00000000000000000039,Yuba,18.087169793750725
201506_00000000000000000000,Alameda,18.96384181177249
201506_00000000000000000001,Alpine,15.458478428535338
201506_00000000000000000002,Amador,21.367698920349344
201506_00000000000000000003,Butte,25.601461899048466
201506_00000000000000000004,Calaveras,21.94843782219756
201506_00000000000000000005,Colusa,26.448976954594492
201506_00000000000000000006,Contra Costa,19.615231404083485
201506_00000000000000000007,Del Norte,17.358953892566905
201506_00000000000000000008,El Dorado,20.050801058060024
201506_00000000000000000009,Fresno,22.416333740551398
201506_0000000000000000000a,Glenn,26.02880884473447
201506_0000000000000000000b,Humboldt,16.27287363276643
201506_0000000000000000000c,Imperial,32.60603237830493
201506_0000000000000000000d,Inyo,26.311545240780017
201506_0000000000000000000e,Kern,25.558709035805332
201506_0000000000000000000f,Kings,28.207707295136338
201506_00000000000000000010,Lake,22.532566982894604
201506_00000000000000000011,Lassen,20.473166025808805
201506_00000000000000000012,Los Angeles,22.96825816434408
201506_00000000000000000043,Los Angeles,16.996832447320664
201506_00000000000000000044,Los Angeles,17.34085025129649
201506_00000000000000000013,Madera,22.1775905193816
201506_00000000000000000014,Marin,16.175088227574552
201506_00000000000000000015,Mariposa,21.406565085244342
201506_00000000000000000016,Mendocino,19.38906573426835
201506_00000000000000000017,Merced,25.29734534650249
201506_00000000000000000018,Modoc,20.472827243204936
201506_00000000000000000019,Mono,16.10552455447679
201506_0000000000000000001a,Monterey,19.14797676712524
201506_0000000000000000001b,Napa,22.53328400501232
201506_0000000000000000001c,Nevada,20.520720615898703
201506_0000000000000000001d,Orange,20.778276042741847
201506_0000000000000000001e,Placer,20.48182928695718
201506_0000000000000000001f,Plumas,19.47950611686194
201506_00000000000000000020,Riverside,28.726575557161926
201506_00000000000000000021,Sacramento,23.657180142803902
201506_00000000000000000022,San Benito,20.647037579058853
201506_00000000000000000023,San Bernardino,29.55542276185389
201506_00000000000000000024,San Diego,22.813346123140317
201506_00000000000000000025,San Francisco,15.475418280727114
201506_00000000000000000026,San Joaquin,22.62702539689152
201506_00000000000000000027,San Luis Obispo,20.735697691147518
201506_00000000000000000028,San Mateo,15.801879460022862
201506_00000000000000000029,Santa Barbara,19.287929120837173
201506_0000000000000000003a,Santa Barbara,
201506_0000000000000000003b,Santa Barbara,16.592675781250023
201506_0000000000000000003c,Santa Barbara,14.75306598047602
201506_0000000000000000003d,Santa Barbara,14.540887451171898
201506_0000000000000000003e,Santa Barbara,16.54607827251822
201506_0000000000000000002a,Santa Clara,19.480512324968092
201506_0000000000000000002b,Santa Cruz,16.382354723981184
201506_0000000000000000002c,Shasta,23.139724669548997
201506_0000000000000000002d,Sierra,18.354187876604193
201506_0000000000000000002e,Siskiyou,19.70476058610326
201506_0000000000000000002f,Solano,21.608012279558583
201506_00000000000000000030,Sonoma,18.654231640013162
201506_00000000000000000031,Stanislaus,24.13474875427218
201506_00000000000000000032,Sutter,26.761215475619167
201506_00000000000000000033,Tehama,25.406797842469338
201506_00000000000000000034,Trinity,20.322748928754365
201506_00000000000000000035,Tulare,22.092373378155553
201506_00000000000000000036,Tuolumne,17.73019735988335
201506_00000000000000000037,Ventura,21.338999201713612
201506_0000000000000000003f,Ventura,15.579890452872098
201506_00000000000000000040,Ventura,18.813806152343773
201506_00000000000000000041,Ventura,18.813806152343773
201506_00000000000000000042,Ventura,
201506_00000000000000000038,Yolo,25.398644700181624
201506_00000000000000000039,Yuba,25.048017006849175
201507_00000000000000000000,Alameda,20.33371769917252
201507_00000000000000000001,Alpine,15.359048329228964
201507_00000000000000000002,Amador,22.02246881410399
201507_00000000000000000003,Butte,26.08870093410019
201507_00000000000000000004,Calaveras,22.686301062143745
201507_00000000000000000005,Colusa,26.752217297168187
201507_00000000000000000006,Contra Costa,20.962097352107214
201507_00000000000000000007,Del Norte,18.728663331082295
201507_00000000000000000008,El Dorado,20.639480926461214
201507_00000000000000000009,Fresno,22.97621130342738
201507_0000000000000000000a,Glenn,26.207767957251345
201507_0000000000000000000b,Humboldt,18.051714734449625
201507_0000000000000000000c,Imperial,32.81567496585061
201507_0000000000000000000d,Inyo,25.68589056631518
201507_0000000000000000000e,Kern,25.87728022779393
201507_0000000000000000000f,Kings,29.06270404943815
201507_00000000000000000010,Lake,22.973328469321565
201507_00000000000000000011,Lassen,20.248654801566378
201507_00000000000000000012,Los Angeles,22.978535647467726
201507_00000000000000000043,Los Angeles,19.034805512764105
201507_00000000000000000044,Los Angeles,19.324911919955568
201507_00000000000000000013,Madera,22.850440869066
201507_00000000000000000014,Marin,17.87301258151816
201507_00000000000000000015,Mariposa,22.0593563747687
201507_00000000000000000016,Mendocino,20.255578160786175
201507_00000000000000000017,Merced,26.16783023247906
201507_00000000000000000018,Modoc,20.916083347186234
201507_00000000000000000019,Mono,16.03340434743614
201507_0000000000000000001a,Monterey,20.291715603477417
201507_0000000000000000001b,Napa,23.11220131552683
201507_0000000000000000001c,Nevada,21.121769605412073
201507_0000000000000000001d,Orange,22.07641623263364
201507_0000000000000000001e,Placer,21.121737122384758
201507_0000000000000000001f,Plumas,19.731053490495306
201507_00000000000000000020,Riverside,28.434196836361497
201507_00000000000000000021,Sacramento,24.630100671246183
201507_00000000000000000022,San Benito,21.578540804062857
201507_00000000000000000023,San Bernardino,28.943986491608584
201507_00000000000000000024,San Diego,23.07117379509716
201507_00000000000000000025,San Francisco,17.495599365234398
201507_00000000000000000026,San Joaquin,23.72229767508994
201507_00000000000000000027,San Luis Obispo,21.463605782307138
201507_00000000000000000028,San Mateo,17.950228965904174
201507_00000000000000000029,Santa Barbara,20.152776990848462
201507_0000000000000000003a,Santa Barbara,
201507_0000000000000000003b,Santa Barbara,18.705072021484398
201507_0000000000000000003c,Santa Barbara,17.26291732646541
201507_0000000000000000003d,Santa Barbara,16.985070800781273
201507_0000000000000000003e,Santa Barbara,18.420517772960373
201507_0000000000000000002a,Santa Clara,20.701082541409573
201507_0000000000000000002b,Santa Cruz,18.49167837090215
201507_0000000000000000002c,Shasta,23.26479850670367
201507_0000000000000000002d,Sierra,18.71904615887123
201507_0000000000000000002e,Siskiyou,20.554484934587652
