system:index,IDDIST,mean
20100110_00000000000000000009,170202,23.27540026617167
20100110_00000000000000000000,170302,24.714175785303528
20100110_00000000000000000008,170303,24.835977196563967
20100110_0000000000000000000a,170301,24.7595878574436
20100110_00000000000000000001,170101,24.30371110805639
20100110_00000000000000000002,170104,24.594435622978555
20100110_00000000000000000003,170102,23.79695709548727
20100110_00000000000000000007,170103,24.890774319709184
20100111_00000000000000000004,170201,22.107674599851094
20100111_00000000000000000005,170203,23.982267921763654
20100111_00000000000000000006,170204,22.68622183553131
20100111_00000000000000000009,170202,24.04900314074159
20100111_00000000000000000000,170302,25.165503678643724
20100111_00000000000000000008,170303,25.11138004088799
20100111_0000000000000000000a,170301,25.14777749704814
20100111_00000000000000000001,170101,24.740906104139707
20100111_00000000000000000002,170104,25.044945708740837
20100111_00000000000000000003,170102,24.417788573954194
20100111_00000000000000000007,170103,25.214883106846454
20100112_00000000000000000004,170201,22.476462982552203
20100112_00000000000000000005,170203,24.228866929994382
20100112_00000000000000000006,170204,22.80957377683741
20100112_00000000000000000009,170202,24.217825452933397
20100112_00000000000000000000,170302,25.723967846592128
20100112_00000000000000000008,170303,25.703673038146263
20100112_0000000000000000000a,170301,25.022372789782754
20100112_00000000000000000001,170101,24.723570414462106
20100112_00000000000000000002,170104,25.128515529952555
20100112_00000000000000000003,170102,24.238439269893448
20100112_00000000000000000007,170103,25.526790009280788
20100113_00000000000000000004,170201,23.052188788830886
20100113_00000000000000000005,170203,25.138370028450083
20100113_00000000000000000006,170204,23.002251723332723
20100113_00000000000000000009,170202,25.37215677150815
20100113_00000000000000000000,170302,25.819703854417952
20100113_00000000000000000008,170303,26.00521472453067
20100113_0000000000000000000a,170301,25.255472964193746
20100113_00000000000000000001,170101,25.952801557289238
20100113_00000000000000000002,170104,26.419724789515676
20100113_00000000000000000003,170102,24.984498049053435
20100113_00000000000000000007,170103,26.388460632037674
20100114_00000000000000000004,170201,22.624102397415403
20100114_00000000000000000005,170203,24.019732169401237
20100114_00000000000000000006,170204,22.654450406739763
20100114_00000000000000000009,170202,24.610779809284022
20100114_00000000000000000000,170302,25.54591471466222
20100114_00000000000000000008,170303,25.59187159286809
20100114_0000000000000000000a,170301,24.598429208682113
20100114_00000000000000000001,170101,24.517973644702952
20100114_00000000000000000002,170104,24.5013709507778
20100114_00000000000000000003,170102,23.648883264344146
20100114_00000000000000000007,170103,25.25334975601073
20100115_00000000000000000004,170201,20.97845976574854
20100115_00000000000000000005,170203,22.114484367044337
20100115_00000000000000000006,170204,21.399863949591918
20100115_00000000000000000009,170202,23.546000960906134
20100115_00000000000000000000,170302,23.562036234710526
20100115_00000000000000000008,170303,23.191956067174104
20100115_0000000000000000000a,170301,24.27500317791874
20100115_00000000000000000001,170101,23.156144582302588
20100115_00000000000000000002,170104,22.840610992096654
20100115_00000000000000000003,170102,22.518440053158162
20100115_00000000000000000007,170103,22.878857971797835
20100116_00000000000000000004,170201,20.99685418967439
20100116_00000000000000000005,170203,22.584889449746214
20100116_00000000000000000006,170204,21.660310083190247
20100116_00000000000000000009,170202,22.931861668646498
20100116_00000000000000000000,170302,23.87468295757123
20100116_00000000000000000008,170303,23.783195989182566
20100116_0000000000000000000a,170301,23.6547963881347
20100116_00000000000000000001,170101,23.423098431954386
20100116_00000000000000000002,170104,23.53192984154203
20100116_00000000000000000003,170102,23.094498116037823
20100116_00000000000000000007,170103,23.879484183278667
20100117_00000000000000000004,170201,22.690597387540286
20100117_00000000000000000005,170203,24.52677677324101
20100117_00000000000000000006,170204,23.427649854784285
20100117_00000000000000000009,170202,25.251859470196692
20100117_00000000000000000000,170302,25.774242970701426
20100117_00000000000000000008,170303,25.82001788040601
20100117_0000000000000000000a,170301,25.45665459345421
20100117_00000000000000000001,170101,25.608065475290545
20100117_00000000000000000002,170104,25.607832741876326
20100117_00000000000000000003,170102,24.86970944841183
20100117_00000000000000000007,170103,25.89023048471822
20100118_00000000000000000004,170201,22.141776615582586
20100118_00000000000000000005,170203,23.68327299027535
20100118_00000000000000000006,170204,22.832432496256065
20100118_00000000000000000009,170202,24.051797951505854
20100118_00000000000000000000,170302,25.114698023312
20100118_00000000000000000008,170303,25.227302284338336
