"","cougar_clean.id","cougar_clean.observed_on","cougar_clean.latitude","cougar_clean.longitude"
"207",175806847,"2012-03-04",34.2752415388,-118.3852434065
"208",175811584,"2023-04-09",34.2120405109,-118.1524339513
"209",175957167,"2012-07-17",34.3001603466,-118.201077928
"210",175958266,"2012-06-06",34.2188035398,-118.3600539761
"211",175959262,"2010-01-15",34.2620765582,-118.2890065553
"212",175959829,"2012-07-07",34.2088045043,-118.2727281931
"213",175960208,"2012-03-16",34.3452054296,-118.2349092808
"214",175960637,"2012-03-15",34.2680997023,-118.3071024155
"215",175960898,"2012-06-27",34.3224381303,-118.2034513261
"216",176998870,"2023-08-06",34.0209607245,-118.9705072628
"217",176999150,"2023-08-06",34.1374240259,-118.7626059697
"218",176999267,"2023-08-06",34.0425310669,-118.7617154226
"219",176999381,"2023-08-06",34.1359311244,-118.6791587519
"220",177010042,"2023-08-06",34.1427711898,-118.9235264516
"221",177733373,"2023-08-10",34.0232488777,-118.6798768042
"222",178218281,"2023-08-13",34.1124686575,-118.7773073497
"223",179259582,"2023-08-19",34.1076408906,-118.6177882879
"224",180055602,"2023-08-24",34.2805151285,-118.283789297
"225",180862821,"2023-08-29",34.362660883,-118.1683766734
"226",181824966,"2023-09-04",34.2878702769,-118.2692914727
"227",181826503,"2023-05-26",34.3248198634,-118.1291448025
"228",181827167,"2023-04-09",34.2150691444,-118.1872129219
"229",181834065,"2023-04-09",34.2682855464,-118.0313586204
"230",181834203,"2023-03-16",34.3621583871,-118.2326606462
"231",181834365,"2023-02-10",34.3968582405,-118.186945426
"232",181834533,"2022-10-22",34.349476914,-118.381756929
"233",182110634,"2023-02-10",34.3761690953,-118.0673465504
"234",182111226,"2022-01-27",34.6902164886,-118.5050702312
"235",183534497,"2023-09-16",34.0258029762,-118.7479146103
"236",185236283,"2023-09-21",34.2173883333,-118.159775
"237",185604328,"2023-09-30",34.0617542867,-118.7330524448
"238",185604412,"2023-09-30",34.112216317,-118.852947055
"239",185604497,"2023-09-30",34.1238501522,-118.8437486655
"240",185609208,"2023-09-30",34.0539359067,-118.8737462591
"241",185609375,"2023-09-30",34.0732716233,-118.8167451275
"242",185609442,"2023-09-30",34.1597022777,-118.8469615398
"243",185609505,"2023-09-30",34.0944048034,-118.7059772979
"244",185609613,"2023-09-30",34.0514280704,-118.8243851718
"245",186734349,"2023-10-08",34.0956567709,-118.9471950773
"246",186734606,"2023-10-08",34.1530948598,-118.9949881038
"247",186734938,"2023-10-08",34.0769178356,-118.794680801
"248",187523746,"2023-10-14",34.0615462834,-118.7135365936
"249",187524127,"2023-10-14",34.1278596995,-118.7093772392
"250",187524326,"2023-10-14",34.0555981525,-118.9062214197
"251",187524460,"2023-10-14",34.0012412902,-118.714361953
"252",187524605,"2023-10-14",34.1030897964,-118.7748526376
"253",187524892,"2023-10-14",34.0031411586,-118.7538220197
"254",187525008,"2023-10-14",34.1620454415,-118.9357914163
"255",187525175,"2023-10-14",34.1075408991,-118.7899113221
"256",187525348,"2023-10-14",34.0710885939,-118.7894635721
"257",187525425,"2023-10-14",34.0036278239,-118.8972047328
"258",188225667,"2023-10-19",34.1224778333,-118.5856383333
"259",188427018,"2023-10-21",34.1655483866,-118.8770871866
"260",188427331,"2023-10-21",34.1417499211,-118.6704553843
"261",188453911,"2023-10-21",34.0529533552,-118.8294769769
"262",188453963,"2023-10-21",34.0902965321,-118.8068928883
"263",188865019,"2023-10-22",34.0453047697,-118.7874166516
"264",189402414,"2023-10-29",34.0787408454,-118.9322971236
"265",189986649,"2023-11-04",34.070897351,-118.8102174026
"266",189986673,"2023-11-04",34.0533689824,-118.9644691
"267",190853344,"2023-11-12",34.0918110255,-118.9889091469
"268",190853497,"2023-11-12",34.0514725407,-118.8637477361
"269",190853599,"2023-11-12",34.1400131725,-118.9399055855
"270",190853644,"2023-11-12",34.0679913619,-118.9723294288
"271",190853701,"2023-11-12",34.0089742476,-118.9074856423
"272",190853818,"2023-11-12",34.0590813765,-118.9933240574
"273",190853911,"2023-11-12",34.1201249424,-118.9508788939
"274",192359226,"2023-11-27",34.1722295904,-118.0114875734
"275",192377310,"2023-11-22",34.0701109291,-117.8080230504
"276",192509591,"2023-01-02",34.1083696756,-118.6846881341
"277",192510440,"2023-01-15",34.1598376996,-118.6016869401
"278",192558690,"2022-09-06",34.0540332759,-118.3122866137
"279",193332065,"2023-11-27",34.1344748007,-118.7191015854
"280",193656766,"2023-12-10",34.3782861111,-118.4603
"281",194945543,"2023-12-26",34.0622687073,-118.7738267548
"282",194951651,"2023-12-23",34.33973,-118.5501216667
"283",196805470,"2024-01-15",34.0574763389,-118.9813689019
"284",196805843,"2024-01-14",34.1272624409,-118.6211840713
"285",197280756,"2023-12-25",34.1284723988,-118.6380380387
"286",197280814,"2023-12-25",34.1435020771,-118.7497094125
"287",197280901,"2023-12-25",34.0846409856,-118.714216589
"288",197469046,"2024-01-23",34.3014849895,-118.5796013989
"289",198337117,"2024-02-03",34.1737196819,-118.9956407949
"290",198570893,"2024-01-31",34.1740256824,-118.0468833447
"291",198928608,"2024-02-10",34.1320827153,-118.9561481428
"292",198929060,"2024-02-10",34.0777450235,-118.9424936366
"293",199469936,"2024-02-16",34.0530787048,-118.6397862636
"294",199470072,"2024-02-16",34.1254476071,-118.6052144357
"295",199977362,"2024-01-18",34.3207823101,-118.3715085081
"296",199977490,"2024-01-18",34.2083588621,-118.3948783864
"297",200233549,"2024-02-17",34.0332611667,-118.7731866667
"298",200234337,"2024-02-07",34.0296666667,-118.7968133333
"299",200256582,"2024-02-22",34.161670848,-118.05284556
"300",200366369,"2022-11-26",34.39143,-117.8220966667
